,Area Name,Pin Code,Latitude,Longitude
95,Guru Gobind Singh Marg,110005,28.68750119312234,77.28557735431858
96,Gymkhana Club,110011,28.568110000000047,77.03968000000003
97,Green Park Market,110016,28.560610000000054,77.20226000000008
98,Green Park,110016,28.55869000000007,77.20455000000004
99,Govindpuri,110019,28.53508000000005,77.26512000000008
100,Gandhi Nagar Bazar,110031,28.662490000000048,77.26080000000007
101,Gandhi Nagar,110031,28.660910000000058,77.26432000000005
102,Geeta Colony,110031,28.653230000000065,77.27137000000005
103,Gujranwala Nagar Part Ii,110033,28.698110000000042,77.19267000000008
104,G T S Nagar,110033,28.675856437479446,77.29264775597645
105,Ganeshpuri,110035,28.677610000000072,77.16426000000007
106,Gurgaon Road,110037,28.540151527926692,77.11734582521082
107,Greater Kailash Ii,110048,28.54179000000005,77.23986000000008
108,Greater Kailash,110048,28.548490000000072,77.23667000000006
109,Guatam Nagar,110049,28.55977000000007,77.21294000000006
110,Gulmohar Park,110049,28.55439000000007,77.21252000000004
111,Gobindpura,110051,28.650750000000073,77.28548000000006
112,Gokulpuri,110094,28.70147451704974,77.28549864409679
113,Hamdard Dawakhana,110006,28.65261000000004,77.22330000000005
114,Hauz Qazi,110006,28.64667000000003,77.22907000000004
115,Hazrat Nizamuddin,110013,28.590760000000046,77.24144000000007
116,Hari Nagar Ashram,110014,28.578590000000077,77.25972000000007
117,Hauz Khas Market,110016,28.551370000000077,77.20698000000004
118,Hauz Khas,110016,28.551090000000045,77.20399000000003
119,Himayunpur Extn,110029,28.561640000000068,77.19443000000007
120,Harijan Sewak Sangh,110033,28.705480000000023,77.20499000000007
121,Haiderpur,110042,28.726600000000076,77.14465000000007
122,Hamdard Nagar,110062,27.930950000000053,78.08208000000008
123,Hari Nagar Da & Db Block,110064,28.622190000000046,77.10813000000007
124,Hari Nagar Be Block,110064,28.625270000000057,77.11951000000005
125,Himmatpuri,110091,28.601410000000044,77.30694000000005
126,Indian Agriculture,110002,28.630990000000054,77.16402000000005
127,Indraprastha Estate,110002,28.625200000000063,77.24678000000006
128,Indraprastha H O,110002,28.697680000000048,77.31262000000004
129,Industrial Area,110005,28.67563000000007,77.30240000000003
130,Idgah Road I S B T,110006,28.670600384917275,77.28455813452014
131,Inderpuri,110012,28.628030000000024,77.14504000000005
132,Industrial Area,110015,28.67563000000007,77.30240000000003
133,I I T Hauz Khas,110016,28.54472345339486,77.20144054677195
134,Inderlok,110035,28.672990000000027,77.17905000000007
135,Janpath,110001,28.610452675788977,77.21830759496822
136,Jawahar Lal Nehru Stadium,110003,28.584310000000073,77.23010000000005
137,Joshi Nagar,110005,26.94485000000003,75.75550000000004
138,Jama Masjid,110006,28.646060000000034,77.23488000000003
139,Jawahar Nagar,110007,28.71616000000006,77.28777000000008
140,Jangpura,110014,28.583770000000072,77.24685000000005
141,Jamia Nagar,110025,28.562680000000057,77.28594000000004
142,Janta Market,110027,28.699960000000033,77.13282000000004
143,J 6 Block Rajouri Garden,110027,28.643140000000074,77.11783000000008
144,J J Colony,110027,28.755580000000066,77.17160000000007
145,Jahangirpuri Block H,110033,28.73297893353034,77.16189919856505
146,Jahangirpuri Block D,110033,28.730420000000038,77.17384000000004
147,Jahangirpuri Block A,110033,28.726820000000032,77.16644000000008
148,Jaroda Majra,110033,28.730590000000063,77.21008000000006
149,Jawalpuri,110041,28.6762250992526,77.0696492062395
150,Jagjit Nagar,110053,30.948480000000075,76.52571000000006
151,Janakpuri Block C 4,110058,28.62136000000004,77.09198000000004
152,Janakpuri,110058,28.627910000000043,77.09060000000005
153,Janakpuri Block D 1,110058,28.63623000000007,77.09279000000004
154,Janakpuri Blockc 2,110058,28.61829000000006,77.08407000000005
155,Jeewan Park,110059,28.617450000000076,77.07403000000005
156,Jawahar Lal Nehru Univers,110067,28.639612778803535,77.24688422011431
157,Jharoda Kalan,110072,28.648610000000076,76.95470000000006
158,Krishi Bhawan,110001,28.61560000000003,77.21401000000003
159,Karol Bagh,110005,28.650450000000035,77.18873000000008
160,Kamla Nagar,110007,28.683760000000063,77.20163000000008
161,Kirby Place,110010,28.607860000000073,77.12709000000007
162,Karampura,110015,28.664750000000026,77.14869000000004
163,Kirti Nagar,110015,28.648210000000063,77.14273000000003
164,Khyalla Phase II,110018,28.746570000000077,77.13010000000008
165,Khyalla Phase I,110018,28.706440000000043,77.08533000000006
166,Kalkaji,110019,28.536620000000028,77.26094000000006
167,Kidwai Nagar,110023,28.571330000000046,77.21069000000006
168,Kidwai Nagar West,110023,28.56964000000005,77.20536000000004
169,Krishna Market,110024,28.639460000000042,77.20896000000005
170,Kailash Nagar,110031,28.663940000000025,77.25703000000004
171,Kabool Nagar,110032,28.67703000000006,77.29097000000007
172,Kailash Colony,110048,28.556130000000053,77.24060000000003
173,Kailash,110048,28.717580000000055,77.16921000000008
174,Krishan Nagar Bazar,110051,28.654420000000073,77.18716000000006
175,Krishan Nagar H O,110051,29.144585181592596,75.72900628318966
176,Khanpur,110062,28.509630000000072,77.23108000000008
177,Kanjhawala,110081,28.73722713692955,77.00845266722182
178,Khera Kalan,110082,28.774180000000058,77.12341000000004
179,Kutubgarh,110084,28.80273002609738,76.95423075993484
180,Khichripur,110091,28.62023000000005,77.31405000000007
181,Kalyanpuri,110091,28.613650000000064,77.31702000000007
182,Kalyan Vas,110092,28.619420000000048,77.31137000000007
183,Karawal Nagar,110094,28.727590000000077,77.27018000000004
184,Lady Harding Medical College,110001,28.618480000000034,77.10486000000003
185,Laxminarain Mandir,110001,28.63456000000008,77.02585000000005
186,Lok Nagar Bhawan,110003,28.579490000000078,77.25907000000007
187,Lodi Road H O,110003,28.57988554314231,77.2155056652382
188,Lodi House Hostel,110003,28.56179000000003,77.20733000000007
189,Lodi Colony Market,110003,28.58627000000007,77.22431000000006
190,Lower Camp Anand Parbat,110005,28.66596000000004,77.17322000000007
191,Lancer Road Market,110007,28.69536000000005,77.21826000000004
192,Lok Nayak Bhawan,110007,28.600990000000024,77.22583000000003
193,Laxmi Bai Nagar,110023,28.57815000000005,77.20618000000007
194,Lajpat Nagar,110024,28.570260000000076,77.24700000000007
195,Loni Road,110032,28.685799793186344,77.2921000874372
196,Lawrence Road,110035,28.683255048786876,77.14630005748302
197,Lekhu Nagar,110035,28.674240000000054,77.16228000000007
198,Lajpat Rai Chowk,110051,28.64455330128326,77.22718982667959
199,Laxmi Nagar Market,110092,28.637820000000033,77.27912000000003
200,Minto Road,110002,28.639090000000067,77.22783000000004
201,Model Basti,110005,28.657400000000052,77.20284000000004
202,Mori Gate,110006,28.66366000000005,77.22492000000005
203,Malka Ganj Market,110007,28.675280000000043,77.20902000000007
204,Malka Ganj,110007,28.677220000000034,77.20920000000007
205,Mansarover Garden,110015,28.642010000000028,77.13054000000005
